Age,Gender,Height_cm,Weight_kg,BMI
56,Male,169.5,77.4,26.95
46,Female,164.2,80.1,29.72
32,Male,150.0,57.5,25.58
25,Male,178.9,70.8,22.13
38,Female,183.7,74.9,22.19
56,Male,181.9,51.4,15.53
36,Female,158.8,89.6,35.52
40,Male,168.8,64.4,22.6
28,Female,169.9,66.3,22.96
28,Male,150.0,50.8,22.57
41,Female,166.8,53.3,19.16
53,Male,175.7,45.0,14.58
57,Female,172.6,65.8,22.09
41,Male,153.9,102.6,43.32
20,Female,156.4,49.7,20.33
39,Female,172.9,109.6,36.67
19,Female,171.3,86.2,29.37
41,Male,150.0,57.9,25.73
47,Female,150.0,65.4,29.07
55,Male,164.2,63.0,23.35
19,Female,159.1,90.6,35.79
38,Male,162.0,72.8,27.72
50,Female,160.9,82.7,31.96
29,Male,174.8,70.4,23.02
39,Male,166.0,63.3,22.97
42,Female,167.7,69.9,24.86
44,Male,151.6,58.9,25.63
59,Male,150.0,45.0,20.0
45,Female,176.2,77.2,24.86
33,Male,186.4,45.0,12.95
32,Male,161.6,61.0,23.35
20,Male,167.5,58.4,20.82
54,Female,168.2,74.7,26.37
24,Male,181.8,88.5,26.78
38,Female,173.9,83.1,27.47
26,Male,170.0,75.1,25.99
56,Male,165.6,55.6,20.27
35,Male,165.6,62.2,22.7
21,Female,150.6,60.1,26.48
42,Male,161.2,57.9,22.31
31,Male,173.9,59.0,19.51
26,Female,162.7,58.6,22.13
43,Male,165.4,57.9,21.15
19,Female,153.2,79.3,33.76
37,Female,169.5,49.2,17.13
45,Male,150.4,54.1,23.9
24,Female,167.9,45.0,15.96
25,Male,163.1,86.2,32.41
52,Female,150.0,53.1,23.58
31,Female,175.7,74.9,24.27
34,Male,163.4,72.1,27.03
53,Female,183.6,84.8,25.15
57,Female,179.8,61.8,19.14
21,Female,156.2,50.8,20.81
19,Female,157.1,45.0,18.24
23,Female,153.3,45.0,19.15
59,Male,150.0,67.4,29.96
21,Female,160.8,76.6,29.65
46,Male,179.4,72.1,22.39
35,Female,150.0,45.0,20.0
43,Male,173.5,80.6,26.76
51,Male,172.7,54.5,18.29
27,Female,170.5,51.4,17.67
53,Female,172.3,54.2,18.25
31,Female,154.0,66.2,27.92
48,Male,172.6,45.0,15.1
32,Female,159.5,64.4,25.33
25,Male,150.0,71.4,31.75
31,Male,165.6,81.6,29.77
40,Male,156.6,67.6,27.6
57,Female,178.6,45.0,14.11
38,Female,162.1,67.2,25.58
33,Male,165.5,49.1,17.93
35,Male,168.9,48.2,16.91
41,Female,162.3,45.0,17.08
43,Male,164.0,45.0,16.74
42,Female,173.4,56.5,18.78
58,Male,154.3,81.9,34.4
46,Female,158.0,98.8,39.61
32,Male,155.3,56.4,23.37
18,Female,179.4,81.3,25.27
42,Male,158.0,59.1,23.67
24,Female,163.6,45.0,16.82
26,Female,159.0,75.5,29.87
41,Male,161.9,68.5,26.14
18,Male,157.6,92.3,37.14
25,Female,169.6,45.0,15.64
41,Male,154.6,106.9,44.75
28,Female,151.5,88.9,38.73
34,Male,159.4,64.7,25.47
25,Female,157.0,60.5,24.55
52,Female,151.6,54.3,23.6
52,Female,161.8,66.6,25.47
50,Female,150.0,62.2,27.66
22,Female,182.3,72.7,21.88
59,Female,150.1,60.6,26.9
56,Male,158.5,86.2,34.31
58,Male,161.0,66.9,25.81
45,Male,181.8,61.1,18.49
24,Female,150.0,80.4,35.72
26,Female,166.4,45.0,16.25
25,Female,175.4,70.1,22.8
29,Female,161.9,65.4,24.94
51,Male,153.3,45.0,19.15
50,Male,163.9,45.0,16.75
40,Female,180.3,80.2,24.66
41,Male,158.8,79.4,31.49
54,Male,179.4,67.6,21.01
52,Female,167.6,90.7,32.31
57,Male,177.3,71.6,22.78
39,Female,167.2,83.7,29.96
44,Male,160.2,71.3,27.8
52,Female,181.4,60.9,18.5
18,Female,167.3,49.1,17.57
52,Female,166.7,55.9,20.14
54,Female,173.1,61.1,20.41
31,Male,174.2,85.4,28.14
20,Female,173.1,76.5,25.54
18,Female,151.5,70.0,30.48
22,Female,158.6,78.1,31.02
43,Male,158.4,72.9,29.05
31,Female,157.2,68.9,27.89
56,Male,156.3,45.0,18.43
44,Female,158.3,82.1,32.76
26,Male,168.4,58.1,20.51
32,Male,169.9,81.3,28.16
32,Female,165.0,82.8,30.41
43,Male,160.7,54.9,21.27
59,Female,177.8,79.2,25.08
30,Female,164.1,59.6,22.13
49,Female,174.4,59.7,19.63
56,Male,159.3,68.9,27.13
49,Male,169.1,69.3,24.21
21,Female,178.4,65.6,20.6
47,Female,150.0,45.0,20.0
54,Male,158.4,63.2,25.16
40,Female,170.9,99.2,33.94
56,Female,177.1,45.0,14.34
32,Female,167.0,78.0,27.97
46,Male,165.5,80.9,29.52
53,Male,181.1,45.0,13.72
30,Male,177.7,58.0,18.35
49,Female,156.3,50.0,20.46
24,Female,166.2,92.8,33.61
39,Female,168.6,81.5,28.69
45,Male,182.2,82.3,24.79
19,Female,173.7,66.8,22.15
59,Female,164.0,84.7,31.5
23,Female,167.2,64.9,23.21
45,Female,150.0,85.4,37.95
45,Male,174.7,62.8,20.57
37,Male,171.5,54.8,18.64
47,Female,177.1,92.2,29.38
28,Male,163.6,64.7,24.18
45,Male,166.3,51.5,18.63
42,Female,160.2,51.4,20.01
56,Female,153.5,51.4,21.81
50,Male,159.0,77.7,30.73
18,Female,150.0,63.5,28.23
44,Male,174.1,99.5,32.8
30,Female,150.0,82.8,36.8
58,Male,185.3,68.9,20.05
20,Female,150.0,86.1,38.25
56,Male,180.0,57.6,17.77
23,Male,155.9,45.0,18.51
25,Male,170.6,50.2,17.23
44,Female,157.5,67.2,27.1
26,Male,181.7,61.7,18.67
54,Male,165.4,77.4,28.27
50,Female,175.7,63.1,20.44
59,Female,165.8,76.2,27.74
41,Male,168.5,87.5,30.81
32,Male,171.2,63.1,21.53
49,Female,159.7,73.3,28.75
49,Female,152.2,45.0,19.43
41,Female,152.0,63.1,27.34
58,Female,165.5,46.5,16.98
29,Female,160.1,67.2,26.2
56,Male,150.0,68.5,30.46
19,Female,170.1,68.5,23.66
20,Male,152.8,57.8,24.75
54,Male,153.4,99.5,42.28
34,Male,164.6,46.0,16.97
19,Female,156.0,45.1,18.52
19,Male,166.2,89.8,32.51
45,Male,184.7,54.4,15.95
40,Female,161.2,50.8,19.56
54,Male,154.4,99.5,41.75
49,Male,166.8,79.8,28.67
50,Female,157.2,56.1,22.68
18,Male,165.2,68.3,25.0
36,Male,168.2,94.2,33.31
19,Male,164.6,75.4,27.8
43,Female,165.6,84.3,30.75
49,Female,166.9,77.1,27.66
23,Female,181.0,79.0,24.11
49,Male,162.5,65.6,24.85
21,Male,166.3,65.2,23.57
28,Female,173.7,69.0,22.88
34,Male,169.7,76.0,26.39
55,Male,161.4,60.8,23.32
41,Female,174.0,66.8,22.07
22,Female,156.3,60.3,24.71
51,Male,162.7,66.7,25.2
23,Male,157.3,46.2,18.69
39,Male,170.8,104.1,35.7
28,Female,176.9,54.0,17.26
33,Female,167.2,59.6,21.3
50,Female,165.8,52.7,19.19
26,Female,156.2,74.2,30.41
23,Male,158.0,62.1,24.87
33,Female,153.1,50.5,21.57
46,Female,150.0,74.9,33.27
20,Female,161.1,76.9,29.62
37,Female,162.0,64.0,24.38
53,Female,186.7,55.0,15.79
36,Male,180.6,97.9,30.0
43,Male,170.6,70.1,24.1
20,Female,185.8,45.9,13.29
36,Male,178.9,86.2,26.93
37,Female,150.0,52.2,23.18
49,Female,175.7,106.1,34.39
24,Male,172.1,66.2,22.35
58,Male,162.1,80.2,30.52
50,Female,150.8,45.0,19.78
57,Female,171.0,45.7,15.65
56,Female,150.0,85.0,37.78
35,Male,164.8,69.8,25.69
57,Female,158.8,95.6,37.91
18,Female,152.4,72.3,31.11
28,Female,176.9,67.2,21.47
45,Male,164.6,90.7,33.48
42,Female,166.7,80.2,28.83
40,Female,174.1,62.1,20.48
48,Male,164.9,48.6,17.87
47,Female,169.5,45.0,15.66
59,Female,173.2,58.4,19.49
52,Male,170.7,47.2,16.21
24,Female,167.9,104.0,36.9
33,Male,182.8,55.2,16.53
43,Male,177.4,54.8,17.42
19,Female,164.1,45.0,16.7
18,Female,155.9,61.0,25.1
29,Female,171.4,55.0,18.74
22,Female,167.2,91.1,32.59
54,Male,182.1,67.5,20.37
49,Female,174.9,64.9,21.21
26,Male,172.6,63.0,21.13
58,Female,165.1,76.8,28.16
52,Female,156.2,58.2,23.85
36,Female,163.0,75.0,28.22
33,Male,169.8,89.2,30.95
20,Female,150.0,71.9,31.96
37,Female,177.4,61.3,19.46
41,Female,185.7,50.7,14.71
50,Female,150.0,60.9,27.05
41,Male,151.0,73.4,32.21
28,Female,167.3,45.0,16.08
25,Male,159.2,77.5,30.58
53,Male,167.6,68.1,24.25
55,Male,164.3,62.8,23.25
57,Male,154.8,55.1,23.01
37,Male,177.9,57.9,18.28
52,Male,169.6,74.0,25.7
42,Female,159.4,63.1,24.82
52,Male,180.1,57.5,17.73
42,Male,159.9,72.0,28.17
46,Male,152.6,72.6,31.19
35,Female,166.8,46.3,16.62
35,Female,168.5,73.6,25.9
19,Male,170.3,102.5,35.34
52,Female,172.0,72.0,24.36
33,Male,170.2,45.0,15.54
58,Male,169.8,67.7,23.48
53,Female,159.3,45.0,17.74
50,Male,158.2,112.5,44.96
21,Female,172.4,98.5,33.14
50,Female,167.4,55.0,19.62
31,Male,173.2,45.0,15.0
38,Male,150.0,51.8,23.03
37,Female,160.0,62.3,24.33
25,Male,184.1,45.0,13.28
24,Male,170.5,64.0,22.0
20,Male,168.0,62.2,22.04
34,Female,172.1,66.9,22.59
50,Female,187.1,68.4,19.56
29,Male,185.0,50.5,14.76
39,Female,150.0,52.2,23.2
39,Female,152.9,65.7,28.1
47,Female,150.0,55.5,24.68
55,Female,157.5,78.6,31.68
55,Female,165.5,65.5,23.91
25,Male,167.4,93.0,33.17
44,Male,150.0,77.3,34.36
44,Male,150.0,81.6,36.25
51,Female,157.4,67.0,27.06
38,Female,174.2,67.4,22.21
47,Male,175.9,91.0,29.4
50,Female,182.1,59.3,17.9
